remove_ratio,remap_ratio
0.00,0.0000
0.05,0.0471
0.09,0.0919
0.14,0.1394
0.19,0.1855
0.25,0.2483
0.30,0.2962
0.34,0.3421
0.39,0.3893
0.44,0.4371
0.48,0.4843
